	asin	product_name	helpful	rating	title	date	reviewer	reviewer_location	review_text	Class
10	 0739324187	 Невинний чоловік: вбивство та несправедливість у маленькому містечку: Книги: Джон Грішем, Крейг Вассон	 1 з 1	 4.0	 Непогані перші зусилля на фронті нехудожньої літератури для Грішама	 16 листопада 2006 р	 К. Палмер	 Іллінойс	" В останні роки я дуже критично ставився до художньої літератури Джона Грішама і багато разів говорив, що йому потрібно витратити більше часу на написання своїх романів, щоб зробити оповідання цікавішими. Що ж, він взяв перерву у написанні романів, щоб написати цю цікаву, якщо не вражаючу науково-популярну роботу про випробування та випробування Рональда Вільямсона, колишнього бейсболіста другої ліги, причетного до вбивства та засудженого до смертної кари. Я не буду вдаватися в подробиці випробувань Вільямсона, але скажу, що Гришем написав досить вирізану і висушену книгу, з якою, мабуть, краще працювали б автори кар’єрних злочинів, але, тим не менш, вона все одно цікава. Він добре виконує роботу, розповідаючи подробиці справи Рона та те, що йому та його родині довелося пережити, коли події розгорталися, і Рон страждав від зростаючих психічних проблем. Гришем навіть не замислювався над написанням історії Рона, поки Рон не помер, тож інтерв'ю не можна взяти, але він робить гідну роботу, пов’язуючи все це разом. Я також скажу, що, хоча він і є смертною карою, він не висловлює такої думки щодо вас. Він дозволяє самій історії розповідати.

Мене насправді цікавить, як ця книга вплине на якість наступного роману Гришама, оскільки він фактично пройшов майже 3 роки між романами на той час. Сподіваємось, перерва призведе до більш класичного твору, такого як ""Фірма"" чи ""Час вбивати"", а не до такого ""Короля деліктів"""	pos
11	 0785264817	 Продаж 101: Що потрібно знати кожному успішному спеціалісту з продажу: Книги: Zig Ziglar	 5 з 6	 5.0	 Зіг - дід навичок продажів	 15 березня 2005 р	" Тодд Б. Натенберг ""Автор,"" я щойно влаштувався на роботу з продажу! Що тепер? "" Посібник із розгортання ваших комісій та президента ТБН """	 Чикаго, Іллінойс, США	" Зіг Зіглар зробив це знову. Як сам автор книг про продажі, я усвідомлюю, що продажі - це набагато більше, ніж просто ""дар"", і швидка розмова. Йдеться про те, щоб задавати правильні запитання та слухати правильні відповіді. Йдеться не лише про те, щоб бути консультантом для інших, але бути консультантом для себе. Це визнання того, що ти займаєш найпочеснішу професію з усіх можливих. Теорії Зіга ілюструють це."	pos
12	 0385493282	 Перший американець: Життя та часи Бенджаміна Франкліна: Книги: H.W. Бренди	 9 з 9	 5.0	 Ще одна велика біографія Франкліна!	 15 березня 2006 р	" Монті Рейні ""juntosocietydotcom"""	 Нью-Браунфелс, Техас, США	" Швидкий пошук в книгах Amazon під назвою ""Бенджамін Франклін"" пропонує 2403 збіги. Виходячи з цих критеріїв, багато хто сказав би, що сказано все, що можна було сказати або що потрібно сказати про Бена Франкліна. Ці люди були б категорично неправі, як було доведено автором та істориком Х.В. Бренди у своїй роботі над Франкліном, ПЕРШИМ АМЕРИКАНЦЕМ: ЖИТТЯ І ЧАСИ БЕНЖАМІНА ФРАНКЛІНА. Бренди вміло повертають цю ключову фігуру в американській історії ще раз у життя в цій книзі, яка була фіналістом Пулітцера у 2002 році.

Ця книга стосується не лише Франкліна, але її сторінки усіяні неймовірним складом другорядних персонажів. Бренди оживляють друзів та знайомих Франкліна, починаючи від Cotton Mather і закінчуючи сером Isaac Newton. Книга також охоплює життя Франкліна від його скромних початків у Бостоні до світового визнання як одного з головних архітекторів американського суспільства та уряду. Я вважаю, що це найкраща біографія, написана про Франкліна з часів лауреата Пулітцерівської премії Ван Дорена приблизно сімдесят років тому.

Звичайно, книга про Франкліна була б неповною, а також не про створення та становлення Америки, оскільки ці дві теми складно пов’язані. Але робота Brands тут є всеохоплюючою, надаючи нам не тільки політику Франкліна, але його творчий геній, діловий сенс та багато іншого, що ми виросли, щоб оцінити цього старшого державного діяча в історії Америки.

Я не уявляю, скільки біографій я прочитав про Бенджаміна Франкліна, але це, безумовно, одна з найкращих за всю історію. H.W. Бренди має чудовий стиль письма з плавними розповідями, прискіпливими деталями і є одним з небагатьох біографів Франкліна, який успішно вказує читачеві на людську сторону Франкліна, а не приділяє увагу його міфічному статусу.

Монті Рейні
www.juntosociety.co"	pos
13	 0786808551	 Арктичний інцидент (Артеміда Фаул, книга 2): Книги: Еоін Колфер	 4 з 4	 5.0	" ""Якщо живий, будь ласка, допоможіть. Якщо ні, то неправильний номер."""	 7 березня 2006 р	" TeensReadToo.com ""Дженніфер Уордріп"""	 Центральний Іллінойс	" Я не виявив захвату від серії Artemis Fowl до тижня тому, коли за один день прочитав ARTEMIS FOWL. Тож, звичайно, мені довелося негайно взяти копію «АРКТИЧНОГО ІНЦИДЕНТУ», щоб перевірити, чи хороша вона, як перша. Це точно є, і, на мою власну скромну думку, я думаю, що мені це сподобалось навіть більше, ніж перша книга. У всій книзі є пункти, де Артеміда, якій зараз тринадцять, показує м’якшу, вразливішу сторону, яка мені справді сподобалася. Не зрозумійте мене неправильно, він все ще злий геній, але він злий геній серцем, і ви не можете не любити його.

Тепер, коли Анджеліна Фаул вийшла з депресії, завдяки деякій феєричній магії капітана Холлі Шорт, вона повернула Артеміду назад до школи молодих джентльменів Сен-Бартельбі в Ірландії. Артеміда отримує досить велику кількість розваг, змінюючи шкільного радника, доктора По, коли він отримує термінове повідомлення від Батлера, його охоронця / дворецького / майордомо - здається, Артеміда Фаул Перший живий у Росії, його тримають за викуп російської Мафії.

Молодий Артемід, звісно, ​​негайно береться розробити схему порятунку свого батька. Минуло майже два роки з того часу, як Артеміса Старшого востаннє не почули, а його син найбільше прагне повернути його додому. Перш ніж він зможе скласти хитру схему, його відвідують не хто інший, як капітан Шорт та її начальник, командир Корінь, і приводять у Хейвен-Сіті та на поліцейську площу. Здається, у гоблінської тріади, B'Wa Kell, є людина-колега, яка допомагає в їх контрабанді, а Артеміда Друга, я вважаю цілком справедливою, підозрюється в тому, що вона така людина.

Однак феї незабаром усвідомлюють, що цього разу Артеміда Фаул не є поганим хлопцем у цій проблемі. Але тепер вони хотіли б допомогти Артеміді та Батлеру, щоб з’ясувати, хто стоїть за заступником між гоблінами та Брудниками - і Артеміда цілком готова їм допомогти, в обмін на допомогу фей у порятунку його батька.

Далі йде насичена історія про добро проти зла під землею, в центрі якої - обмани, удари ногами та помста. Поки Холлі, Рут, Батлер та Артеміда гоняються врятувати місто Хейвен від знищення, деякі ті самі персонажі з першої книги виступають - Фолі, Мульч Діггумс, Каджен та Капітан Біда. У ARCTIC INCIDENT також є новий ворог, Опал Кобой, з яким потрібно мати справу.

Я настійно рекомендую серію ARTEMIS FOWL всім і кожному. Дуже приємний, наскрізь розважальний, і незабаром забутий."	pos
14	 0316880655	 Робіть те, що ви є: відкривайте для себе ідеальну кар’єру через секрети типу особистості - переглянуте та оновлене видання, що представляє електронні кар’єри 21 століття: Книги: Пол Д. Тігер, Барбара Баррон-Тігер	 6 з 8	 4.0	 Це працювало дотепер ....	 24 серпня 2006 р	 Мел Г.	 Я, наприклад, є і ENFP	" Хоча я лише середня школа Софмор, і у мене немає * справжньої * роботи, ця книга була дуже корисною у вирішенні, для чого зніматися. Я чув, що люди називають цю книгу занадто розмитою, але вони не можуть сказати вам, що саме робити; це не працює так. Після того, як ви пройшли частину вікторини про особистість, автор дає дещо детальний опис вашого конкретного типу особистості (я, наприклад, am та ENFP) і додає в опис пропозиції, а також дає скромний перелік інших можливостей. Я зізнаюся, це було трохи нерозумно, ніж я сподівався, але це дає вам багато місця для пересування і чудового місця для початку.
   Мені пощастило, що я знайшов цю книгу, коли знайшов (а не 3-4 роки в коледжі), тому що знайшов кілька задовільних варіантів кар’єри, які зазвичай не вибрав би для себе, і вони знаходяться на протилежному кінці спектру від того, що я раніше розглядав. (дивлячись на це запущене речення, ви з полегшенням дізнаєтесь, що жоден з моїх виборів не повинен бути вчителем англійської мови)
   Загалом, це була гарна книга. Було багато наповнювача, що описує різні особистісні характеристики, які я визнав зайвими лише тому, що пару раз переглядав це у школі. Однак, якщо ви незнайомі з цією територією, пояснення будуть дуже корисними"	pos
15	 1401210821	 Абсолютний пісочник, вип. 1: Книги: Ніл Гейман, Сем Кіт, Майк Дрінгенберг, Чарльз Весс, Майкл Зуллі, Келлі Джонс, Кріс Бачало, Малкольм Джонс, Денні Воццо, Коллін Доран	 3 з 3	 5.0	 Примітка для споживачів у Великобританії	 3 листопада 2006 р	 Імтіяз Мулла	 	" Красива, приголомшлива абсолютно чудова.

Коротка довідка для колег-британців, це було замовлено 22 жовтня і надійшло 1 листопада, і тут набагато дешевше, ніж на amazon.co.uk або де-небудь ще у Великобританії !! Я замовив речі всередині країни, які зайняли більше часу в пості !!"	pos
16	 1400082544	 Рейчел Рей 365: Не повторюйся - рік смачно різних вечерь (30-хвилинна кулінарна книга): Книги: Рейчел Рей	 2 з 2	 4.0	 Дуже корисно для студента коледжу	 28 жовтня 2006 р	" Крістіна ""дівчина в коледжі"""	 що добре, бо у мене дуже переповнений графік	" Я любив цю книгу. Їжа була дійсно хорошою та швидкою (що добре, тому що у мене дуже упакований графік). Також чудово, якщо у вас бюджет. Рецепти мають різні варіації, тому я міг їсти різні речі, але не потрібно купувати цілий новий набір інгредієнтів.

Єдина причина, чому вона не отримала п’ять зірок, полягала в тому, що частина їжі була справді гострою (я з Техасу, я люблю гостру), аж до того моменту, коли її хлопець не міг її з’їсти. Я просто модифікував рецепти, і все було добре"	pos
17	 0374146357	 Виробник ехо: роман: Книги: Річард Пауерс	 3 з 5	 4.0	 Мозок, Журавель, Сток	 29 жовтня 2006 р	 Іллінігуй71	 Глибоко на Середньому Заході	" The NY Times Book Review пов’язує цей роман із наслідками 9-11, але це може мати більше спільного із занепокоєнням жителів Нью-Йорка, ніж із історією, яку писав Пауерс. Незважаючи на те, що він згадує на 9-11 на початку, ця книга стосується екології та збереження видів проти економічного розвитку на великих рівнинах на західному краю середньозахідного сільськогосподарського поясу. Йдеться про боротьбу з тим, щоб не втратити ще більше економічного грунту щодо решти Америки в регіоні, який повільно виснажує своє населення через зміну масштабів сільськогосподарських операцій. Але оскільки це роман Річарда Пауерса, мова йде і про набагато більше: нейрофізіологія, функції мозку, що відображається у поведінці та особистості, відданість 30-річної сестри своєму менш спроможному молодшому братові, її сексуальні стосунки з двома дуже різними чоловіків та національно відомого письменника (чітко зразка Олівера Сакса), який переживає кризу пізнього середини життя. Йдеться про любов, відданість і вчинення настільки правильних справ, наскільки це можливо. Це передбачає втечу та повернення.
Очевидно, що Пауерс не слід вважати регіональним письменником. Його книги розміщені повністю або частково в Брукліні, Манхеттені, Філадельфії, Л. А., на Тихоокеанському північному заході та на континенті Європи. Але кілька книг Пауерса розташовано на Середньому Заході, де він базується. Читачі, які знають щось із сфер, в яких ці історії розміщені, отримають додаткову оцінку за вмілий спосіб, який Пауерс включає в ці романи витончені регіональні особливості.
Як казали інші, це, мабуть, не найкращий роман, який нам дав цей письменник, хоча він досить ретельно складений і сповнений дивовижних поглядів, яких ми очікували від нього. Я віддаю перевагу варіаціям «Золотий жук», «Трьом фермерам на шляху до танцю» і, незважаючи на мою власну музичну безграмотність, «У час нашого співу». Але навіть коли Пауерс не зовсім у своєму найкращому стані, він пише кращу книгу, ніж більшість романістів коли-небудь вдається створити. Читай, насолоджуйся, вчись"	pos
18	 1558001131	 Коротка історія часу: Книги: Стівен Хокінг, Майкл Джексон	 6 з 6	 4.0	 Я вражений	 25 вересня 2006 р	 Девід П. Колдуелл	 Клівленд-Гайтс, штат Огайо, США	" Треба сказати, моєю першою реакцією було здивування тим, наскільки Хокінг краще пояснює сучасну фізику, ніж мої викладачі в коледжі. Принцип невизначеності Гейзенберга був лише рівнянням, яке я вивчив. Хокінг давав це здаватися здоровим глуздом.

Хокінг іноді надто старається бути дотепним (і всі його жарти розбиває знаками оклику! На всякий випадок, якщо ви їх пропустили!), Але все-таки, це було цілком читабельним описом того, що в даний час відомо про космологію . Я використовую термін ""в даний час"" обережно, оскільки зовсім недавно була якась велика знахідка щодо темної матерії (вона існує!), Але відтепер, коли є нові знахідки у фізиці, я хочу, щоб Хокінг пояснив мені це, тому що я відчуваю, що тоді я міг би їх зрозуміти. Тому вам слід прочитати цю книгу.

Причиною того, що ви не повинні читати цю книгу, є те, що ви не зацікавлені у боротьбі з абстракціями, з якими ви ніколи не будете взаємодіяти у повсякденному житті, а скоріше читаєте про глобальне потепління чи Дарфур чи щось більш актуальне та практичне. Це все ще було важким читанням, і я відчуваю, що зрозумів, можливо, 80%. Вам вирішувати, але для колишнього студента технічного факультету це було те, про що я хотів би прочитати, коли займався фізикою"	pos
19	 1411608313	 День за днем ​​Армагеддон: Книги: Дж., Л. Борн	 	 4.0	 Додайте другий том!	 2 листопада 2006 р	 Патрік Карлін	 Форт-Майєрс, Флорида, США	 Формат журналу - це унікальний підхід до жанру, і мені особливо подобається детальна увага, що приділяється екіпіровці та виживанню. Автор, очевидно, знає свої речі. Також вражає те, що цей роман видано власноруч. Я здивований, що хтось не звернув уваги і запропонував Дж. Л. Борну угоду. Він хороший	pos
20	 0446313645	 Страх і ненависть: слідом за кампанією: Книги: Хантер С. Томпсон	 3 з 3	 4.0	" HST подорожує до ""Живота звіра"" американського виборчого процесу"	 19 серпня 2005 р	 Кіт Ірвін	 	" Після культу коледжу Стоунера журналістська майстерність Хантера С. Томпсона була життєво важливим національним ресурсом аж до того, як він покинув нас у лютому минулого року. Томпсон був одним з тих небагатьох відважних, хто наважився прорватися через сприйняття популярних засобів масової інформації та блискучу риторику та подорожувати прямо до потворного центру свого тематичного матеріалу, вирівнюючи веселі алегорії, де пересічний журналіст вже забруднився б у розчаруванні.

Про кампанію слід читати всім, хто дотримується менш скептичного погляду на американську політику, ніж, скажімо, середній матч за титул WWE у важкій вазі, бо справді здоровий розум не повинен бути більше шокований, почувши, що політик бреше або обманює, щоб збільшити його президентські надії, ніж тоді, коли Гробовщик б'є його опонента сталевим кріслом, коли арбітр повертається спиною. Хантер давно подорожував крізь цей окуляр - хоча часом його можна знайти, висловлюючи носталагію за широкоокий оптимізм 60-х років, - але результат не настільки гнітючий, як веселий. Зображення Томпсона, яке пронизує молодь Ніксона в РНЦ і кричить нецензурні слова та погрози смертю на прес-бокс суперника-журналіста Джона Ченслора, оточений сотнями дітей, які скандують ""Ще чотири роки!"" була однією з найвеселіших книжок, яку мені запропонувала за якийсь час.

Як відбувається кліше - «Чим більше речей змінюється, тим більше вони залишаються тими самими»? Після ґрунтовного удару Джорджа Макговерна з боку Річарда Ніксона, HST завдає найбільш приголомшливого удару президентським надіям Макговерна кризі в ЗМІ за участю його кандидата на віце-президента Томаса Іглтона. Всього через кілька днів після того, як Іглтон був названий кандидатом у відставку Макговерна, двоє керівників демократичних кампаній отримали телефонні дзвінки, що свідчили про те, що Іглтон тричі проходив інтенсивне психіатричне лікування. Коли ця історія поширювалась як пожежа по всій пресі, президентські надії Макговерна були завдані ударом, від якого вони ніколи не оговтаються. З тих пір ми бачили, як Віллі Гортон та ветерани «Стрімких човнів» вийшли переслідувати своїх кандидатів, і хтось схильний замислюватися, ким буде демократичний «талісман» для змагань 2008 року. Можливо, психічно інвалідна дитина, триколісний велосипед якої розчавив автомобіль Хіларі Клінтон? Домініканська повія, яка дала хлопцю Джо Байдену?

Але я відступаю. Я даю ""На кампанії"" 4 із 5 зірок, тому що книга, як і самі президентські кампанії, часом може здатися неперевершеною. Томпсон час від часу звертається до цього, роздумуючи вголос, що саме спонукало його висвітлювати політику, перш ніж згадати, що порив, який відчуваєш від участі в політичній команді, що перемагає, майже ідентичний тому, що наркоман отримує це давно потрібне виправлення. Інші частини книги матимуть сенс лише для більш жорстких послідовників політики. Наприклад, велике інтерв'ю HST з керівником кампанії Ріком Стернсом, де Стернс пояснює тонкощі отримання державних делегатів, для мене читається як ієрогліфи."	pos
